WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94702,20141001,0010,11,FEW011 BKN029 OVC043, , 8.00, ,-RA, ,61, ,16.1, ,59, ,14.8, ,57, ,13.9, , 87, , 8, ,050, , , ,29.98, , , , , ,M, ,SP, , , ,30.00,
94702,20141001,0018,11,SCT011 OVC028, , 8.00, ,VCTS, ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 6, ,030, , , ,29.99, , , , , ,M, ,SP, , , ,30.01,
94702,20141001,0030,11,BKN010 BKN024 OVC029, , 9.00, ,VCTS, ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 8, ,040, , , ,29.99, , , , , ,M, ,SP, , , ,30.01,
94702,20141001,0037,11,BKN010 OVC026, , 8.00, , , ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 8, ,020, , , ,29.98, , , , , ,M, ,SP, , , ,30.00,
94702,20141001,0045,11,SCT010 BKN027 OVC036, , 8.00, , , ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 8, ,030, , , ,29.98, , , , , ,M, ,SP, , , ,30.00,
94702,20141001,0050,11,SCT009 BKN021 OVC037, , 8.00, , , ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, , 8, ,030, , , ,29.98, , , , , ,M, ,SP, , , ,30.00,
94702,20141001,0052,11,SCT009 BKN021 OVC037, , 8.00, , , ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, , 9, ,030, , , ,29.98, , , , , ,30.00, ,AA, ,  T, ,30.00,
94702,20141001,0150,11,SCT025 SCT033 OVC060, ,10.00, , , ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, , 9, ,360, , , ,29.96, , , , , ,M, ,SP, , , ,29.98,
94702,20141001,0152,11,FEW025 SCT034 OVC060, ,10.00, , , ,60, ,15.6, ,59, ,14.9, ,58, ,14.4, , 93, ,11, ,360, , , ,29.96, , , , , ,29.98, ,AA, , , ,29.98,
94702,20141001,0249,11,OVC029, , 6.00, ,RA BR, ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, , 9, ,360, , , ,29.97, , , , , ,M, ,SP, , , ,29.99,
